soil_id,sample_type,device,water_content,suction
lldllj,undisturbed,sem,0.43670000000000003,48.92415367702702
lldllj,undisturbed,sem,0.43520000000000003,53.03020691623903
lldllj,undisturbed,sem,0.4336,57.216767931445695
lldllj,undisturbed,sem,0.4318,61.591860314532376
lldllj,undisturbed,sem,0.4299,65.54254813315693
lldllj,undisturbed,sem,0.428,69.26651246559923
lldllj,undisturbed,sem,0.4261,73.87939352695545
lldllj,undisturbed,sem,0.42450000000000004,78.79947457469451
lldllj,undisturbed,sem,0.4226,83.85391070840566
lldllj,undisturbed,sem,0.4203,88.82256728856247
lldllj,undisturbed,sem,0.4183,93.86924432386117
lldllj,undisturbed,sem,0.4163,98.74686615329894
lldllj,undisturbed,sem,0.4143,104.11740173173983
lldllj,undisturbed,sem,0.4122,109.27563067849982
lldllj,undisturbed,sem,0.41009999999999996,114.68941081482689
lldllj,undisturbed,sem,0.408,119.54277185914292
lldllj,undisturbed,sem,0.40590000000000004,124.60151466677213
lldllj,undisturbed,sem,0.40380000000000005,129.87433046598196
lldllj,undisturbed,sem,0.40159999999999996,135.37027827547885
lldllj,undisturbed,sem,0.3993,141.0988004683533
lldllj,undisturbed,sem,0.3971,146.73148798133127
lldllj,undisturbed,sem,0.395,152.58903331389075
lldllj,undisturbed,sem,0.39299999999999996,158.68041282747706
lldllj,undisturbed,sem,0.3909,164.63543734224052
lldllj,undisturbed,sem,0.3885,170.8139444932005
lldllj,undisturbed,sem,0.3862,177.63286548328472
lldllj,undisturbed,sem,0.3837,184.72399893006838
lldllj,undisturbed,sem,0.38130000000000003,191.21560049014383
lldllj,undisturbed,sem,0.3791,198.39161905622893
lldllj,undisturbed,sem,0.3766,206.3114453880491
lldllj,undisturbed,sem,0.3741,214.05398709858702
lldllj,undisturbed,sem,0.37170000000000003,222.0870941339263
lldllj,undisturbed,sem,0.3691,231.48524905910293
lldllj,undisturbed,sem,0.3667,241.28110974175283
lldllj,undisturbed,sem,0.3642,251.4915060671874
lldllj,undisturbed,sem,0.3617,262.7382613506813
lldllj,undisturbed,sem,0.3591,274.48797399597566
lldllj,undisturbed,sem,0.3564,286.763136366549
lldllj,undisturbed,sem,0.35369999999999996,299.58724668930506
lldllj,undisturbed,sem,0.35109999999999997,313.7063586403387
lldllj,undisturbed,sem,0.34850000000000003,326.981605322332
lldllj,undisturbed,sem,0.34590000000000004,342.3917736205257
lldllj,undisturbed,sem,0.3433,358.5282007758334
lldllj,undisturbed,sem,0.3407,375.42511431369985
lldllj,undisturbed,sem,0.3379,392.2142077268021
lldllj,undisturbed,sem,0.33520000000000005,410.69869386190027
lldllj,undisturbed,sem,0.3333,430.0543269900125
lldllj,undisturbed,sem,0.33149999999999996,449.2864507698596
lldllj,undisturbed,sem,0.32880000000000004,470.46066885358505
lldllj,undisturbed,sem,0.3258,491.49977309948173
lldllj,undisturbed,sem,0.32289999999999996,514.6634437730069
lldllj,undisturbed,sem,0.3201,538.9187846129045
lldllj,undisturbed,sem,0.31739999999999996,564.3172444490656
lldllj,undisturbed,sem,0.3145,592.2748912694591
lldllj,undisturbed,sem,0.3116,620.1879469419931
lldllj,undisturbed,sem,0.3085,652.4140747876762
lldllj,undisturbed,sem,0.3054,687.8968514773529
lldllj,undisturbed,sem,0.3025,725.309426266525
lldllj,undisturbed,sem,0.2994,766.5197012761759
lldllj,undisturbed,sem,0.297,810.0714414658858
lldllj,undisturbed,sem,0.29460000000000003,858.0711920324763
lldllj,undisturbed,sem,0.2961,908.9151066277173
lldllj,undisturbed,sem,0.2026,6554.254813315697
lldllj,undisturbed,dewpoint,0.114,18686.300202638482
lldllj,undisturbed,dewpoint,0.0867,35606.01100019624
lldllj,undisturbed,dewpoint,0.0091,1075284.3417669584
