soil_id,treatment,diameter,cumdist
cedlbl,peroxide,2.84435,0.4603
cedlbl,peroxide,2.91479,0.462668
cedlbl,peroxide,2.98697,0.465048
cedlbl,peroxide,3.06093,0.46744
cedlbl,peroxide,3.13673,0.469848
cedlbl,peroxide,3.2144,0.472275
cedlbl,peroxide,3.294,0.474722
cedlbl,peroxide,3.37557,0.477192
cedlbl,peroxide,3.45916,0.479687
cedlbl,peroxide,3.54481,0.482209
cedlbl,peroxide,3.63259,0.484761
cedlbl,peroxide,3.72255,0.487332
cedlbl,peroxide,3.81473,0.489919
cedlbl,peroxide,3.90919,0.492522
cedlbl,peroxide,4.00599,0.495141
cedlbl,peroxide,4.10519,0.497776
cedlbl,peroxide,4.20685,0.500425
cedlbl,peroxide,4.31102,0.50309
cedlbl,peroxide,4.41777,0.505769
cedlbl,peroxide,4.52717,0.508463
cedlbl,peroxide,4.63927,0.511171
cedlbl,peroxide,4.75415,0.513892
cedlbl,peroxide,4.87188,0.516628
cedlbl,peroxide,4.99252,0.519377
cedlbl,peroxide,5.11615,0.522139
cedlbl,peroxide,5.24284,0.524913
cedlbl,peroxide,5.37266,0.527701
cedlbl,peroxide,5.50571,0.5305
cedlbl,peroxide,5.64204,0.533312
cedlbl,peroxide,5.78175,0.536135
cedlbl,peroxide,5.92493,0.53897
cedlbl,peroxide,6.07164,0.541817
cedlbl,peroxide,6.22199,0.544674
cedlbl,peroxide,6.37607,0.54754
cedlbl,peroxide,6.53396,0.550403
cedlbl,peroxide,6.69575,0.553263
cedlbl,peroxide,6.86156,0.556123
cedlbl,peroxide,7.03147,0.558984
cedlbl,peroxide,7.20559,0.561851
cedlbl,peroxide,7.38402,0.564725
cedlbl,peroxide,7.56687,0.567609
cedlbl,peroxide,7.75424,0.570505
cedlbl,peroxide,7.94626,0.573417
cedlbl,peroxide,8.14303,0.576345
cedlbl,peroxide,8.34467,0.579294
cedlbl,peroxide,8.55131,0.582266
cedlbl,peroxide,8.76306,0.585263
cedlbl,peroxide,8.98006,0.588287
cedlbl,peroxide,9.20243,0.591342
cedlbl,peroxide,9.43031,0.59443
cedlbl,peroxide,9.66383,0.597553
cedlbl,peroxide,9.90313,0.600714
cedlbl,peroxide,10.1484,0.603916
cedlbl,peroxide,10.3997,0.607161
cedlbl,peroxide,10.6572,0.610451
cedlbl,peroxide,10.9211,0.61379
cedlbl,peroxide,11.1915,0.617179
cedlbl,peroxide,11.4686,0.620642
cedlbl,peroxide,11.7526,0.624254
cedlbl,peroxide,12.0437,0.628009
cedlbl,peroxide,12.3419,0.63189
cedlbl,peroxide,12.6475,0.635883
cedlbl,peroxide,12.9607,0.63997
cedlbl,peroxide,13.2817,0.644137
cedlbl,peroxide,13.6105,0.64836800000000006
cedlbl,peroxide,13.9476,0.652647
cedlbl,peroxide,14.293,0.656958
cedlbl,peroxide,14.6469,0.661285
cedlbl,peroxide,15.0096,0.665612
cedlbl,peroxide,15.3813,0.669924
cedlbl,peroxide,15.7621,0.674206
cedlbl,peroxide,16.1525,0.67844
cedlbl,peroxide,16.5524,0.682612
cedlbl,peroxide,16.9623,0.686705
cedlbl,peroxide,17.3823,0.690704
cedlbl,peroxide,17.8128,0.694593
cedlbl,peroxide,18.2539,0.698356
cedlbl,peroxide,18.7059,0.701978
cedlbl,peroxide,19.1691,0.705442
cedlbl,peroxide,19.6438,0.708733
cedlbl,peroxide,20.1302,0.711837
cedlbl,peroxide,20.6287,0.714766
cedlbl,peroxide,21.1395,0.717543
cedlbl,peroxide,21.663,0.720182
cedlbl,peroxide,22.1994,0.7227
cedlbl,peroxide,22.7491,0.725112
cedlbl,peroxide,23.3125,0.727433
cedlbl,peroxide,23.8897,0.72968
cedlbl,peroxide,24.4813,0.731867
cedlbl,peroxide,25.0875,0.73401
cedlbl,peroxide,25.7088,0.736125
cedlbl,peroxide,26.3454,0.738228
cedlbl,peroxide,26.9978,0.740333
cedlbl,peroxide,27.6663,0.742457
cedlbl,peroxide,28.3514,0.744615
